Date,item_id,item_price,item_cnt_day
15.01.2013,3871,2499,1
27.01.2013,3871,2499,1
15.01.2013,3876,999,1
02.01.2013,3878,2999,1
25.01.2013,3885,899,1
17.01.2013,3826,299,1
31.01.2013,3897,399,1
02.01.2013,3902,399,1
29.01.2013,3902,399,1
09.01.2013,3903,299,1
19.01.2013,3903,299,1
15.01.2013,3942,799,1
18.01.2013,3942,399.5,1
16.01.2013,3871,2499,1
13.01.2013,3870,599,2
07.01.2013,4161,899,1
19.01.2013,4161,899,1
05.01.2013,4248,1999,1
12.01.2013,4248,1999,1
25.01.2013,4248,1999,1
30.01.2013,4248,1999,1
02.01.2013,4249,1894.87,-1
03.01.2013,4249,1899,2
04.01.2013,4249,1899,1
05.01.2013,4249,1899,1
11.01.2013,4249,1899,2
12.01.2013,4249,1899,1
17.01.2013,4249,1899,1
19.01.2013,4249,1899,1
30.01.2013,4249,1899,1
31.01.2013,4249,1899,1
05.01.2013,4251,399,1
09.01.2013,4251,399,1
11.01.2013,4251,399,1
14.01.2013,4251,399,1
22.01.2013,4251,399,1
23.01.2013,4251,399,1
04.01.2013,4252,599,1
25.01.2013,4252,599,1
27.01.2013,4252,599,1
22.01.2013,4265,299,1
19.01.2013,4092,299,1
19.01.2013,4244,1999,1
10.01.2013,4244,1999,1
25.01.2013,4240,1999,1
19.01.2013,4240,1999,1
29.01.2013,4161,899,1
02.01.2013,4163,1590,2
03.01.2013,4163,1590,1
05.01.2013,4163,1590,1
07.01.2013,4163,1590,2
11.01.2013,4163,1590,1
16.01.2013,4163,1590,1
17.01.2013,4163,1590,1
19.01.2013,4163,1431,2
25.01.2013,4163,1590,1
26.01.2013,4163,1590,1
27.01.2013,4163,1590,2
13.01.2013,4161,899,2
30.01.2013,4163,1590,1
16.01.2013,4164,999,1
30.01.2013,4164,999,2
03.01.2013,4211,1990,1
10.01.2013,4069,299,1
04.01.2013,4075,299,1
11.01.2013,4075,299,1
26.01.2013,4227,899,1
05.01.2013,4229,1498.49,1
17.01.2013,4229,1499,1
02.01.2013,4240,1999,1
07.01.2013,4240,1999,1
17.01.2013,4240,1999,1
13.01.2013,4164,999,1
04.01.2013,6045,299,1
09.01.2013,785,349,2
02.01.2013,715,149,1
27.01.2013,4481,1699,1
20.01.2013,4476,1499,1
29.01.2013,4482,2499,1
03.01.2013,4485,299.5,1
16.01.2013,4446,299,1
05.01.2013,4723,299.5,1
14.01.2013,4723,299,1
17.01.2013,4724,1399,1
02.01.2013,4779,499,1
08.01.2013,4573,299,1
27.01.2013,4790,599,1
31.01.2013,4790,509,1
05.01.2013,4800,299,1
06.01.2013,4800,299,1
08.01.2013,4800,299,1
14.01.2013,4807,1999,1
03.01.2013,4809,599,1
04.01.2013,4809,599,1
10.01.2013,4809,1199,1
26.01.2013,4809,599,1
30.01.2013,4809,299.5,2
31.01.2013,4809,399.56,1
13.01.2013,4814,899,1
11.01.2013,4598,299,1
11.01.2013,4823,1999,1
06.01.2013,4481,1699,1
04.01.2013,4610,299,1
26.01.2013,4475,599,1
02.01.2013,4421,299,1
03.01.2013,4211,1990,1
08.01.2013,4229,1498.995,2
19.01.2013,4240,1999,1
08.01.2013,4248,1999,1
12.01.2013,4248,1999,2
19.01.2013,4248,1999,1
08.01.2013,4249,1899,1
26.01.2013,4251,319,1
09.01.2013,4092,299,1
16.01.2013,4092,299,1
02.01.2013,4293,299,1
08.01.2013,4293,299,1
02.01.2013,4325,349,1
11.01.2013,4325,296,1
31.01.2013,4325,349,1
06.01.2013,4462,649,1
05.01.2013,4332,449,1
20.01.2013,4464,599,1
04.01.2013,4366,449,1
02.01.2013,4371,1799,1
08.01.2013,4371,1799,1
13.01.2013,4372,1999,1
19.01.2013,4372,1999,1
13.01.2013,4373,1999,1
30.01.2013,4376,1398,1
22.01.2013,4422,899,1
11.01.2013,4612,1649,1
07.01.2013,4884,299,1
25.01.2013,4885,898.5,1
19.01.2013,5033,1999,1
23.01.2013,5033,1998.5,1
06.01.2013,5034,1999,1
12.01.2013,5068,2190,1
22.01.2013,5068,2190,2
03.01.2013,5070,1590,1
16.01.2013,5070,1590,1
31.01.2013,5070,1590,1
07.01.2013,5301,449,1
06.01.2013,5363,2199,1
29.01.2013,5364,2599,1
05.01.2013,5371,8290,1
24.01.2013,5371,7590,1
04.01.2013,5378,2990,1
05.01.2013,5378,2990,1
08.01.2013,5378,2990,1
15.01.2013,5378,2990,1
16.01.2013,5378,2990,1
19.01.2013,5378,2990,1
20.01.2013,5378,2990,1
21.01.2013,5384,3390,1
27.01.2013,5306,299,1
04.01.2013,5406,349,1
06.01.2013,5406,349,1
20.01.2013,5406,349,1
11.01.2013,5032,1199,1
06.01.2013,5031,1399,1
25.01.2013,5274,1999,1
06.01.2013,5273,1999,1
02.01.2013,4886,899,1
15.01.2013,4887,899,1
02.01.2013,4901,1699,1
10.01.2013,4920,1372,1
12.01.2013,4923,999,1
17.01.2013,4923,999,1
14.01.2013,4688,1499,1
11.01.2013,4691,699,1
29.01.2013,4691,699,1
04.01.2013,4694,249,1
06.01.2013,4694,249,1
13.01.2013,4694,249,1
31.01.2013,4164,999,3
27.01.2013,4694,249,1
06.01.2013,4702,299,1
28.01.2013,5224,299,1
09.01.2013,5228,299,1
20.01.2013,5228,299,1
04.01.2013,5256,799,1
08.01.2013,5260,499,1
22.01.2013,5260,499,1
04.01.2013,5262,1199,1
05.01.2013,5275,1699,1
15.01.2013,5272,599,1
20.01.2013,5272,599,1
26.01.2013,5272,599,1
27.01.2013,4696,249,1
12.01.2013,5414,1199,1
30.01.2013,4164,999,3
27.01.2013,4164,999,1
27.01.2013,3686,899,1
27.01.2013,3615,299,1
04.01.2013,3718,349,1
05.01.2013,3718,349,1
08.01.2013,3718,349,2
13.01.2013,3718,349,1
14.01.2013,3718,349,1
06.01.2013,3719,599,1
09.01.2013,3719,599,1
18.01.2013,3743,799,1
19.01.2013,3622,299,1
08.01.2013,3647,399,1
18.01.2013,3661,349,1
20.01.2013,3834,2199,1
21.01.2013,3869,2499,1
24.01.2013,3869,2499,1
02.01.2013,3870,599,1
04.01.2013,3870,599,1
10.01.2013,3870,599,1
11.01.2013,3870,599,2
12.01.2013,3870,599,2
15.01.2013,3870,599,1
20.01.2013,3870,599,1
25.01.2013,3870,599,1
26.01.2013,3870,599,1
13.01.2013,3686,899,1
27.01.2013,3870,599,1
24.01.2013,3582,149,1
16.01.2013,3665,449,1
14.01.2013,3325,799,2
18.01.2013,3325,799,1
20.01.2013,3325,799,1
22.01.2013,3325,799,1
26.01.2013,3325,799,1
30.01.2013,3325,799,1
02.01.2013,3326,1699,1
04.01.2013,3326,1699,1
26.01.2013,3326,1699,1
04.01.2013,3328,1999,1
12.01.2013,3328,2599,1
20.01.2013,3328,1998.5,1
04.01.2013,3321,1998.5,1
06.01.2013,3321,1999,1
15.01.2013,3321,1999,1
29.01.2013,3321,1999,1
04.01.2013,3362,1199,1
29.01.2013,3366,1199,1
04.01.2013,3367,1999,1
11.01.2013,3369,399,1
11.01.2013,3527,199,1
06.01.2013,3528,1690,1
24.01.2013,3533,999,1
12.01.2013,3554,2199,1
14.01.2013,3556,2199,1
18.01.2013,3665,449,1
13.01.2013,3871,2499,1
12.01.2013,3822,399,1
14.01.2013,3890,58,1
15.01.2013,4163,1590,1
16.01.2013,4163,1590,1
19.01.2013,4163,1590,1
20.01.2013,4163,1590,3
22.01.2013,4163,1590,1
23.01.2013,4163,1590,1
24.01.2013,4163,1590,1
25.01.2013,4163,1590,2
26.01.2013,4163,1590,1
27.01.2013,4163,1590,2
29.01.2013,4163,1590,1
30.01.2013,4163,1590,1
03.01.2013,4164,999,1
05.01.2013,4164,999,1
06.01.2013,4164,999,1
07.01.2013,4164,999,2
09.01.2013,4164,999,1
10.01.2013,4164,999,2
12.01.2013,4164,999,1
13.01.2013,4164,999,1
15.01.2013,4164,999,1
17.01.2013,4164,999,1
18.01.2013,4164,999,4
19.01.2013,4164,999,2
26.01.2013,4164,999,1
14.01.2013,4163,1590,1
13.01.2013,4163,1590,1
12.01.2013,4163,1590,2
11.01.2013,4163,1590,1
22.01.2013,3941,398,1
21.01.2013,3976,299,1
26.01.2013,3976,299,1
30.01.2013,3976,299,1
13.01.2013,4013,299,1
13.01.2013,4015,299,1
06.01.2013,4128,899,1
08.01.2013,4128,899,1
24.01.2013,4128,899,1
04.01.2013,4147,2090,1
29.01.2013,4147,2090,1
03.01.2013,4148,1490,1
28.01.2013,4164,999,3
04.01.2013,4161,899,1
09.01.2013,4161,899,2
11.01.2013,4161,899,2
13.01.2013,4161,899,2
